,GAME_ID,PUBLISHER_ID,PUBLISHER_NAME
212,251485,35138,
213,2564,35138,
214,2579,35138,
215,261221,35138,
216,264694,35138,
217,264726,35138,
218,264729,35138,
219,266192,35138,
220,2662,35138,
221,277907,35138,
222,2818,35138,
223,2848,35138,
224,285568,35138,
225,286110,35138,
226,287758,35138,
227,288560,35138,
228,288566,35138,
229,288567,35138,
230,288575,35138,
231,288583,35138,
232,288584,35138,
233,288600,35138,
234,288616,35138,
235,288621,35138,
236,288623,35138,
237,288624,35138,
238,288626,35138,
239,288630,35138,
240,288631,35138,
241,288633,35138,
242,288634,35138,
243,288637,35138,
244,288638,35138,
245,288640,35138,
246,288646,35138,
247,288650,35138,
248,288652,35138,
249,288653,35138,
250,288656,35138,
251,288657,35138,
252,288662,35138,
253,288663,35138,
254,288669,35138,
255,2901,35138,
256,294129,35138,
257,2952,35138,
258,2955,35138,
259,295995,35138,
260,2968,35138,
261,297930,35138,
262,2998,35138,
263,3001,35138,
264,30017,35138,
265,301507,35138,
266,311655,35138,
267,311656,35138,
268,311703,35138,
269,311720,35138,
270,313727,35138,
271,3172,35138,
272,319116,35138,
273,319991,35138,
274,3215,35138,
275,32319,35138,
276,32410,35138,
277,32476,35138,
278,32703,35138,
279,328409,35138,
280,330380,35138,
281,330488,35138,
282,3311,35138,
283,331303,35138,
284,3314,35138,
285,331405,35138,
286,3341,35138,
287,335080,35138,
288,3351,35138,
289,3352,35138,
290,335695,35138,
291,335878,35138,
292,336283,35138,
293,336291,35138,
294,336801,35138,
295,336803,35138,
296,3382,35138,
297,3386,35138,
298,3387,35138,
299,3393,35138,
300,3399,35138,
301,3401,35138,
302,340785,35138,
303,3410,35138,
304,3414,35138,
305,341582,35138,
306,345065,35138,
307,345127,35138,
308,3455,35138,
309,34704,35138,
310,3492,35138,
311,35299,35138,
312,3532,35138,
313,353358,35138,
314,353360,35138,
315,353362,35138,
316,353363,35138,
317,353364,35138,
318,353365,35138,
319,353366,35138,
320,353367,35138,
321,353368,35138,
322,353369,35138,
323,353371,35138,
324,353372,35138,
325,353373,35138,
326,353374,35138,
327,353375,35138,
328,353376,35138,
329,353378,35138,
330,353379,35138,
331,353381,35138,
332,353382,35138,
333,353383,35138,
334,353385,35138,
335,353386,35138,
336,353387,35138,
337,353390,35138,
338,353391,35138,
339,353392,35138,
340,353393,35138,
341,353394,35138,
342,353395,35138,
343,353396,35138,
344,353397,35138,
345,353399,35138,
346,353400,35138,
347,353401,35138,
348,353402,35138,
349,353403,35138,
350,353405,35138,
351,353408,35138,
352,353410,35138,
353,353411,35138,
354,353412,35138,
355,353414,35138,
356,353415,35138,
357,353418,35138,
358,353420,35138,
359,353422,35138,
360,353423,35138,
361,353424,35138,
362,353426,35138,
363,353427,35138,
364,353428,35138,
365,353429,35138,
366,353434,35138,
367,353440,35138,
368,353452,35138,
369,353456,35138,
370,353500,35138,
371,353510,35138,
372,353519,35138,
373,353535,35138,
374,353602,35138,
375,353607,35138,
376,353614,35138,
377,353621,35138,
378,355149,35138,
379,355170,35138,
380,355172,35138,
381,355174,35138,
382,355176,35138,
383,355193,35138,
384,355194,35138,
385,355196,35138,
386,355197,35138,
387,3552,35138,
388,355214,35138,
389,355224,35138,
390,355228,35138,
391,355265,35138,
392,355285,35138,
393,355289,35138,
394,355298,35138,
395,3553,35138,
396,355371,35138,
397,355373,35138,
398,355394,35138,
399,355396,35138,
400,355411,35138,
401,355417,35138,
402,355419,35138,
403,356739,35138,
404,356839,35138,
405,356848,35138,
406,356860,35138,
407,356867,35138,
408,356871,35138,
409,356876,35138,
410,356878,35138,
411,356894,35138,
412,356899,35138,
413,356935,35138,
414,356983,35138,
415,356995,35138,
416,356999,35138,
417,357001,35138,
418,357036,35138,
419,357038,35138,
420,357043,35138,
421,357050,35138,
422,357787,35138,
423,357788,35138,
424,357789,35138,
425,357790,35138,
426,357794,35138,
427,357795,35138,
428,357797,35138,
429,357798,35138,
430,357800,35138,
431,357805,35138,
432,357812,35138,
433,357813,35138,
434,357815,35138,
435,357817,35138,
436,357820,35138,
437,357821,35138,
438,357822,35138,
439,357823,35138,
440,357828,35138,
441,357829,35138,
442,357830,35138,
443,357836,35138,
444,357838,35138,
445,357840,35138,
446,357841,35138,
447,357846,35138,
448,357847,35138,
449,357851,35138,
450,357852,35138,
451,357853,35138,
452,357854,35138,
453,357855,35138,
454,357862,35138,
455,357863,35138,
456,357864,35138,
457,357865,35138,
458,357867,35138,
459,357868,35138,
460,357869,35138,
