GAME_ID,GENRE_ID,GENRE_NAME
19441,4,Simulation
19499,4,Simulation
19531,4,Simulation
19536,4,Simulation
1959,4,Simulation
19592,4,Simulation
19605,4,Simulation
19661,4,Simulation
19664,4,Simulation
19701,4,Simulation
20020,4,Simulation
20170,4,Simulation
209,4,Simulation
2093,4,Simulation
21107,4,Simulation
21810,4,Simulation
219771,4,Simulation
22400,4,Simulation
22509,4,Simulation
2255,4,Simulation
22953,4,Simulation
22996,4,Simulation
23036,4,Simulation
23074,4,Simulation
2382,4,Simulation
23903,4,Simulation
241038,4,Simulation
24915,4,Simulation
24940,4,Simulation
24973,4,Simulation
25042,4,Simulation
25141,4,Simulation
25259,4,Simulation
25323,4,Simulation
25513,4,Simulation
25521,4,Simulation
25601,4,Simulation
2572,4,Simulation
25855,4,Simulation
25998,4,Simulation
26027,4,Simulation
262362,4,Simulation
262368,4,Simulation
26303,4,Simulation
26324,4,Simulation
2634,4,Simulation
26468,4,Simulation
26672,4,Simulation
27026,4,Simulation
27061,4,Simulation
27953,4,Simulation
27980,4,Simulation
281854,4,Simulation
281856,4,Simulation
28279,4,Simulation
28355,4,Simulation
28358,4,Simulation
28374,4,Simulation
28402,4,Simulation
28460,4,Simulation
28515,4,Simulation
28529,4,Simulation
286481,4,Simulation
28815,4,Simulation
288567,4,Simulation
288584,4,Simulation
28864,4,Simulation
29089,4,Simulation
29131,4,Simulation
29547,4,Simulation
29633,4,Simulation
29644,4,Simulation
29778,4,Simulation
29779,4,Simulation
29800,4,Simulation
29969,4,Simulation
30394,4,Simulation
30559,4,Simulation
30652,4,Simulation
30653,4,Simulation
30737,4,Simulation
30784,4,Simulation
3107,4,Simulation
31080,4,Simulation
3111,4,Simulation
3129,4,Simulation
31386,4,Simulation
31413,4,Simulation
31436,4,Simulation
31633,4,Simulation
31679,4,Simulation
31985,4,Simulation
32088,4,Simulation
32160,4,Simulation
324127,4,Simulation
32549,4,Simulation
32569,4,Simulation
32601,4,Simulation
331774,4,Simulation
333321,4,Simulation
3336,4,Simulation
333809,4,Simulation
334287,4,Simulation
335030,4,Simulation
335411,4,Simulation
3358,4,Simulation
34388,4,Simulation
34658,4,Simulation
34764,4,Simulation
34766,4,Simulation
34777,4,Simulation
34788,4,Simulation
3482,4,Simulation
34877,4,Simulation
34888,4,Simulation
34922,4,Simulation
35021,4,Simulation
35026,4,Simulation
35084,4,Simulation
3521,4,Simulation
35518,4,Simulation
35635,4,Simulation
35851,4,Simulation
359605,4,Simulation
3608,4,Simulation
36142,4,Simulation
36150,4,Simulation
36153,4,Simulation
3656,4,Simulation
36736,4,Simulation
36851,4,Simulation
37075,4,Simulation
3745,4,Simulation
37459,4,Simulation
37935,4,Simulation
37949,4,Simulation
3820,4,Simulation
38488,4,Simulation
38493,4,Simulation
38559,4,Simulation
38680,4,Simulation
387852,4,Simulation
3888,4,Simulation
3901,4,Simulation
39079,4,Simulation
39080,4,Simulation
39285,4,Simulation
3930,4,Simulation
39327,4,Simulation
39454,4,Simulation
39455,4,Simulation
39775,4,Simulation
3982,4,Simulation
39820,4,Simulation
40069,4,Simulation
40071,4,Simulation
40217,4,Simulation
40245,4,Simulation
4030,4,Simulation
40330,4,Simulation
40406,4,Simulation
40408,4,Simulation
404456,4,Simulation
4088,4,Simulation
40927,4,Simulation
41094,4,Simulation
41607,4,Simulation
4177,4,Simulation
4188,4,Simulation
42187,4,Simulation
4232,4,Simulation
42519,4,Simulation
4267,4,Simulation
4337,4,Simulation
43447,4,Simulation
438605,4,Simulation
447171,4,Simulation
447233,4,Simulation
447249,4,Simulation
4515,4,Simulation
4559,4,Simulation
46431,4,Simulation
4683,4,Simulation
4719,4,Simulation
4891,4,Simulation
4913,4,Simulation
4957,4,Simulation
497963,4,Simulation
5005,4,Simulation
5078,4,Simulation
5085,4,Simulation
5097,4,Simulation
511118,4,Simulation
5139,4,Simulation
5153,4,Simulation
51673,4,Simulation
51675,4,Simulation
5203,4,Simulation
5204,4,Simulation
5207,4,Simulation
52334,4,Simulation
52335,4,Simulation
5250,4,Simulation
5264,4,Simulation
52650,4,Simulation
52671,4,Simulation
52706,4,Simulation
5291,4,Simulation
5315,4,Simulation
5331,4,Simulation
5360,4,Simulation
53627,4,Simulation
53637,4,Simulation
5402,4,Simulation
54172,4,Simulation
5421,4,Simulation
54257,4,Simulation
54346,4,Simulation
54479,4,Simulation
5455,4,Simulation
54624,4,Simulation
54668,4,Simulation
5500,4,Simulation
5561,4,Simulation
5587,4,Simulation
5588,4,Simulation
55971,4,Simulation
56069,4,Simulation
56148,4,Simulation
5648,4,Simulation
5653,4,Simulation
56582,4,Simulation
5689,4,Simulation
57503,4,Simulation
57562,4,Simulation
59007,4,Simulation
59257,4,Simulation
59258,4,Simulation
59315,4,Simulation
6656,4,Simulation
6885,4,Simulation
71924,4,Simulation
7712,4,Simulation
8098,4,Simulation
8190,4,Simulation
87795,4,Simulation
881,4,Simulation
9501,4,Simulation
9539,4,Simulation
9564,4,Simulation
9609,4,Simulation
10053,14,Action
10116,14,Action
10118,14,Action
1012,14,Action
10121,14,Action
10128,14,Action
10239,14,Action
10247,14,Action
10296,14,Action
10311,14,Action
10393,14,Action
10446,14,Action
1056,14,Action
10633,14,Action
1077,14,Action
108,14,Action
10991,14,Action
10997,14,Action
1115,14,Action
1121,14,Action
11276,14,Action
11377,14,Action
11387,14,Action
11816,14,Action
12010,14,Action
12020,14,Action
123,14,Action
12756,14,Action
12877,14,Action
12988,14,Action
1299,14,Action
13017,14,Action
1303,14,Action
13038,14,Action
1320,14,Action
1322,14,Action
13331,14,Action
13376,14,Action
13461,14,Action
13464,14,Action
13498,14,Action
13535,14,Action
13537,14,Action
13759,14,Action
1382,14,Action
13902,14,Action
13909,14,Action
13925,14,Action
13926,14,Action
14002,14,Action
14007,14,Action
14018,14,Action
1416,14,Action
14237,14,Action
14331,14,Action
144,14,Action
14422,14,Action
14446,14,Action
14448,14,Action
1447,14,Action
14560,14,Action
14726,14,Action
14729,14,Action
1477,14,Action
14784,14,Action
14815,14,Action
14829,14,Action
14870,14,Action
14963,14,Action
14975,14,Action
14989,14,Action
14990,14,Action
15294,14,Action
15321,14,Action
154746,14,Action
1559,14,Action
15945,14,Action
16113,14,Action
16160,14,Action
16262,14,Action
16419,14,Action
