,GAME_ID,PLATFORM_ID,PLATFORM_NAME
88,4571,47,Atari Flashback
89,4599,47,Atari Flashback
90,49783,47,Atari Flashback
91,51091,47,Atari Flashback
92,51092,47,Atari Flashback
93,5161,47,Atari Flashback
94,52884,47,Atari Flashback
95,53239,47,Atari Flashback
96,538,47,Atari Flashback
97,54260,47,Atari Flashback
98,54720,47,Atari Flashback
99,5525,47,Atari Flashback
100,55718,47,Atari Flashback
101,56,47,Atari Flashback
102,5873,47,Atari Flashback
103,719,47,Atari Flashback
104,7241,47,Atari Flashback
105,739,47,Atari Flashback
106,9609,47,Atari Flashback
107,9845,47,Atari Flashback
108,9920,47,Atari Flashback
109,10040,11,Atari Lynx
110,10053,11,Atari Lynx
111,10057,11,Atari Lynx
112,10065,11,Atari Lynx
113,10116,11,Atari Lynx
114,101176,11,Atari Lynx
115,10118,11,Atari Lynx
116,1012,11,Atari Lynx
117,10121,11,Atari Lynx
118,10128,11,Atari Lynx
119,102364,11,Atari Lynx
120,10239,11,Atari Lynx
121,10243,11,Atari Lynx
122,10247,11,Atari Lynx
123,10261,11,Atari Lynx
124,102716,11,Atari Lynx
125,10296,11,Atari Lynx
126,10311,11,Atari Lynx
127,10393,11,Atari Lynx
128,10395,11,Atari Lynx
129,10446,11,Atari Lynx
130,1056,11,Atari Lynx
131,10633,11,Atari Lynx
132,10715,11,Atari Lynx
133,10717,11,Atari Lynx
134,1077,11,Atari Lynx
135,108,11,Atari Lynx
136,10810,11,Atari Lynx
137,10824,11,Atari Lynx
138,10884,11,Atari Lynx
139,1090,11,Atari Lynx
140,10991,11,Atari Lynx
141,10997,11,Atari Lynx
142,11043,11,Atari Lynx
143,11076,11,Atari Lynx
144,1121,11,Atari Lynx
145,11276,11,Atari Lynx
146,11377,11,Atari Lynx
147,11387,11,Atari Lynx
148,1140,11,Atari Lynx
149,11748,11,Atari Lynx
150,11816,11,Atari Lynx
151,118627,11,Atari Lynx
152,11871,11,Atari Lynx
153,11934,11,Atari Lynx
